fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,fixed acidity volatile acidity,fixed acidity citric acid,fixed acidity residual sugar,fixed acidity chlorides,fixed acidity free sulfur dioxide,fixed acidity total sulfur dioxide,fixed acidity density,fixed acidity pH,quality
7.8,0.5,0.12,1.8,0.178,6.0,21.0,0.996,3.28,0.87,9.8,3.9,0.9359999999999999,14.04,1.3883999999999999,46.8,163.79999999999998,7.7688,25.584,6
10.0,0.41,0.45,6.2,0.071,6.0,14.0,0.99702,3.21,0.49,11.8,4.1,4.5,62.0,0.71,60.0,140.0,9.9702,32.1,7
7.8,0.39,0.42,2.0,0.086,9.0,21.0,0.99526,3.39,0.66,11.6,3.042,3.276,15.6,0.6708,70.2,163.79999999999998,7.763028,26.442,6
10.0,0.35,0.47,2.0,0.061,6.0,11.0,0.99585,3.23,0.52,12.0,3.5,4.699999999999999,20.0,0.61,60.0,110.0,9.9585,32.3,6
8.2,0.33,0.32,2.8,0.067,4.0,12.0,0.99473,3.3,0.76,12.8,2.706,2.6239999999999997,22.959999999999997,0.5494,32.8,98.39999999999999,8.156785999999999,27.059999999999995,7
6.1,0.58,0.23,2.5,0.044,16.0,70.0,0.99352,3.46,0.65,12.5,3.5379999999999994,1.403,15.25,0.26839999999999997,97.6,427.0,6.060471999999999,21.105999999999998,6
8.3,0.6,0.25,2.2,0.118,9.0,38.0,0.99616,3.15,0.53,9.8,4.98,2.075,18.26,0.9794,74.7,315.40000000000003,8.268128,26.145000000000003,5
9.6,0.42,0.35,2.1,0.083,17.0,38.0,0.99622,3.23,0.66,11.1,4.032,3.36,20.16,0.7968000000000001,163.2,364.8,9.563711999999999,31.008,6
6.6,0.58,0.0,2.2,0.1,50.0,63.0,0.99544,3.59,0.68,11.4,3.8279999999999994,0.0,14.52,0.66,330.0,415.79999999999995,6.569903999999999,23.694,6
8.3,0.6,0.25,2.2,0.118,9.0,38.0,0.99616,3.15,0.53,9.8,4.98,2.075,18.26,0.9794,74.7,315.40000000000003,8.268128,26.145000000000003,5
8.5,0.18,0.51,1.75,0.071,45.0,88.0,0.99524,3.33,0.76,11.8,1.53,4.335,14.875,0.6034999999999999,382.5,748.0,8.45954,28.305,7
5.1,0.51,0.18,2.1,0.042,16.0,101.0,0.9924,3.46,0.87,12.9,2.601,0.9179999999999999,10.709999999999999,0.2142,81.6,515.0999999999999,5.06124,17.645999999999997,7
6.7,0.41,0.43,2.8,0.076,22.0,54.0,0.99572,3.42,1.16,10.6,2.747,2.8810000000000002,18.759999999999998,0.5092,147.4,361.8,6.671324,22.914,6
10.2,0.41,0.43,2.2,0.11,11.0,37.0,0.99728,3.16,0.67,10.8,4.1819999999999995,4.385999999999999,22.44,1.1219999999999999,112.19999999999999,377.4,10.172255999999999,32.232,5
10.6,0.36,0.57,2.3,0.087,6.0,20.0,0.99676,3.14,0.72,11.1,3.816,6.041999999999999,24.38,0.9221999999999999,63.599999999999994,212.0,10.565655999999999,33.284,7
8.8,0.45,0.43,1.4,0.076,12.0,21.0,0.99551,3.21,0.75,10.2,3.9600000000000004,3.7840000000000003,12.32,0.6688000000000001,105.60000000000001,184.8,8.760488,28.248,6
8.5,0.32,0.42,2.3,0.075,12.0,19.0,0.99434,3.14,0.71,11.8,2.72,3.57,19.549999999999997,0.6375,102.0,161.5,8.45189,26.69,7
9.0,0.785,0.24,1.7,0.078,10.0,21.0,0.99692,3.29,0.67,10.0,7.065,2.16,15.299999999999999,0.702,90.0,189.0,8.97228,29.61,5
9.0,0.785,0.24,1.7,0.078,10.0,21.0,0.99692,3.29,0.67,10.0,7.065,2.16,15.299999999999999,0.702,90.0,189.0,8.97228,29.61,5
8.5,0.44,0.5,1.9,0.369,15.0,38.0,0.99634,3.01,1.1,9.4,3.74,4.25,16.15,3.1365,127.5,323.0,8.46889,25.584999999999997,5
9.9,0.54,0.26,2.0,0.111,7.0,60.0,0.99709,2.94,0.98,10.2,5.346000000000001,2.5740000000000003,19.8,1.0989,69.3,594.0,9.871191000000001,29.106,5
8.2,0.33,0.39,2.5,0.074,29.0,48.0,0.99528,3.32,0.88,12.4,2.706,3.198,20.5,0.6067999999999999,237.79999999999998,393.59999999999997,8.161296,27.223999999999997,7
6.5,0.34,0.27,2.8,0.067,8.0,44.0,0.99384,3.21,0.56,12.0,2.21,1.7550000000000001,18.2,0.4355,52.0,286.0,6.45996,20.865,6
7.6,0.5,0.29,2.3,0.086,5.0,14.0,0.99502,3.32,0.62,11.5,3.8,2.2039999999999997,17.479999999999997,0.6536,38.0,106.39999999999999,7.562152,25.232,6
9.2,0.36,0.34,1.6,0.062,5.0,12.0,0.99667,3.2,0.67,10.5,3.312,3.128,14.719999999999999,0.5703999999999999,46.0,110.39999999999999,9.169363999999998,29.439999999999998,6
7.1,0.59,0.0,2.2,0.078,26.0,44.0,0.99522,3.42,0.68,10.8,4.188999999999999,0.0,15.620000000000001,0.5538,184.6,312.4,7.066062,24.282,6
9.7,0.42,0.46,2.1,0.074,5.0,16.0,0.99649,3.27,0.74,12.3,4.074,4.462,20.37,0.7177999999999999,48.5,155.2,9.665953,31.718999999999998,6
7.6,0.36,0.31,1.7,0.079,26.0,65.0,0.99716,3.46,0.62,9.5,2.7359999999999998,2.356,12.92,0.6003999999999999,197.6,494.0,7.578416,26.296,6
7.6,0.36,0.31,1.7,0.079,26.0,65.0,0.99716,3.46,0.62,9.5,2.7359999999999998,2.356,12.92,0.6003999999999999,197.6,494.0,7.578416,26.296,6
6.5,0.61,0.0,2.2,0.095,48.0,59.0,0.99541,3.61,0.7,11.5,3.965,0.0,14.3,0.6175,312.0,383.5,6.470165,23.465,6
6.5,0.88,0.03,5.6,0.079,23.0,47.0,0.99572,3.58,0.5,11.2,5.72,0.195,36.4,0.5135,149.5,305.5,6.472180000000001,23.27,4
7.1,0.66,0.0,2.4,0.052,6.0,11.0,0.99318,3.35,0.66,12.7,4.686,0.0,17.04,0.3692,42.599999999999994,78.1,7.051577999999999,23.785,7
5.6,0.915,0.0,2.1,0.041,17.0,78.0,0.99346,3.68,0.73,11.4,5.124,0.0,11.76,0.2296,95.19999999999999,436.79999999999995,5.563376,20.608,5
8.2,0.35,0.33,2.4,0.076,11.0,47.0,0.99599,3.27,0.81,11.0,2.8699999999999997,2.706,19.679999999999996,0.6232,90.19999999999999,385.4,8.167118,26.813999999999997,6
8.2,0.35,0.33,2.4,0.076,11.0,47.0,0.99599,3.27,0.81,11.0,2.8699999999999997,2.706,19.679999999999996,0.6232,90.19999999999999,385.4,8.167118,26.813999999999997,6
9.8,0.39,0.43,1.65,0.068,5.0,11.0,0.99478,3.19,0.46,11.4,3.8220000000000005,4.214,16.17,0.6664000000000001,49.0,107.80000000000001,9.748844,31.262,5
10.2,0.4,0.4,2.5,0.068,41.0,54.0,0.99754,3.38,0.86,10.5,4.08,4.08,25.5,0.6936,418.2,550.8,10.174907999999999,34.476,6
6.8,0.66,0.07,1.6,0.07,16.0,61.0,0.99572,3.29,0.6,9.3,4.488,0.47600000000000003,10.88,0.47600000000000003,108.8,414.8,6.7708960000000005,22.372,5
6.7,0.64,0.23,2.1,0.08,11.0,119.0,0.99538,3.36,0.7,10.9,4.288,1.5410000000000001,14.07,0.536,73.7,797.3000000000001,6.669046000000001,22.512,5
7.0,0.43,0.3,2.0,0.085,6.0,39.0,0.99346,3.33,0.46,11.9,3.01,2.1,14.0,0.5950000000000001,42.0,273.0,6.95422,23.310000000000002,6
6.6,0.8,0.03,7.8,0.079,6.0,12.0,0.9963,3.52,0.5,12.2,5.28,0.19799999999999998,51.48,0.5214,39.599999999999994,79.19999999999999,6.5755799999999995,23.232,5
7.0,0.43,0.3,2.0,0.085,6.0,39.0,0.99346,3.33,0.46,11.9,3.01,2.1,14.0,0.5950000000000001,42.0,273.0,6.95422,23.310000000000002,6
6.7,0.64,0.23,2.1,0.08,11.0,119.0,0.99538,3.36,0.7,10.9,4.288,1.5410000000000001,14.07,0.536,73.7,797.3000000000001,6.669046000000001,22.512,5
8.8,0.955,0.05,1.8,0.075,5.0,19.0,0.99616,3.3,0.44,9.6,8.404,0.44000000000000006,15.840000000000002,0.66,44.0,167.20000000000002,8.766208,29.04,4
9.1,0.4,0.57,4.6,0.08,6.0,20.0,0.99652,3.28,0.57,12.5,3.64,5.186999999999999,41.85999999999999,0.728,54.599999999999994,182.0,9.068332,29.847999999999995,6
6.5,0.885,0.0,2.3,0.166,6.0,12.0,0.99551,3.56,0.51,10.8,5.7525,0.0,14.95,1.079,39.0,78.0,6.470815,23.14,5
7.2,0.25,0.37,2.5,0.063,11.0,41.0,0.99439,3.52,0.8,12.4,1.8,2.664,18.0,0.4536,79.2,295.2,7.159608,25.344,7
6.4,0.885,0.0,2.3,0.166,6.0,12.0,0.99551,3.56,0.51,10.8,5.664000000000001,0.0,14.719999999999999,1.0624,38.400000000000006,76.80000000000001,6.371264,22.784000000000002,5
7.0,0.745,0.12,1.8,0.114,15.0,64.0,0.99588,3.22,0.59,9.5,5.215,0.84,12.6,0.798,105.0,448.0,6.97116,22.540000000000003,6
6.2,0.43,0.22,1.8,0.078,21.0,56.0,0.99633,3.52,0.6,9.5,2.666,1.364,11.16,0.48360000000000003,130.20000000000002,347.2,6.177246,21.824,6
7.9,0.58,0.23,2.3,0.076,23.0,94.0,0.99686,3.21,0.58,9.5,4.582,1.8170000000000002,18.169999999999998,0.6004,181.70000000000002,742.6,7.8751940000000005,25.359,6
7.7,0.57,0.21,1.5,0.069,4.0,9.0,0.99458,3.16,0.54,9.8,4.388999999999999,1.617,11.55,0.5313000000000001,30.8,69.3,7.658266,24.332,6
7.7,0.26,0.26,2.0,0.052,19.0,77.0,0.9951,3.15,0.79,10.9,2.0020000000000002,2.0020000000000002,15.4,0.4004,146.3,592.9,7.66227,24.255,6
7.9,0.58,0.23,2.3,0.076,23.0,94.0,0.99686,3.21,0.58,9.5,4.582,1.8170000000000002,18.169999999999998,0.6004,181.70000000000002,742.6,7.8751940000000005,25.359,6
7.7,0.57,0.21,1.5,0.069,4.0,9.0,0.99458,3.16,0.54,9.8,4.388999999999999,1.617,11.55,0.5313000000000001,30.8,69.3,7.658266,24.332,6
7.9,0.34,0.36,1.9,0.065,5.0,10.0,0.99419,3.27,0.54,11.2,2.6860000000000004,2.844,15.01,0.5135000000000001,39.5,79.0,7.854101000000001,25.833000000000002,7
8.6,0.42,0.39,1.8,0.068,6.0,12.0,0.99516,3.35,0.69,11.7,3.6119999999999997,3.354,15.48,0.5848,51.599999999999994,103.19999999999999,8.558376,28.81,8
9.9,0.74,0.19,5.8,0.111,33.0,76.0,0.99878,3.14,0.55,9.4,7.3260000000000005,1.881,57.42,1.0989,326.7,752.4,9.887922,31.086000000000002,5
7.2,0.36,0.46,2.1,0.074,24.0,44.0,0.99534,3.4,0.85,11.0,2.592,3.3120000000000003,15.120000000000001,0.5327999999999999,172.8,316.8,7.166448,24.48,7
7.2,0.36,0.46,2.1,0.074,24.0,44.0,0.99534,3.4,0.85,11.0,2.592,3.3120000000000003,15.120000000000001,0.5327999999999999,172.8,316.8,7.166448,24.48,7
7.2,0.36,0.46,2.1,0.074,24.0,44.0,0.99534,3.4,0.85,11.0,2.592,3.3120000000000003,15.120000000000001,0.5327999999999999,172.8,316.8,7.166448,24.48,7
9.9,0.72,0.55,1.7,0.136,24.0,52.0,0.99752,3.35,0.94,10.0,7.128,5.445,16.830000000000002,1.3464,237.60000000000002,514.8000000000001,9.875448,33.165,5
7.2,0.36,0.46,2.1,0.074,24.0,44.0,0.99534,3.4,0.85,11.0,2.592,3.3120000000000003,15.120000000000001,0.5327999999999999,172.8,316.8,7.166448,24.48,7
6.2,0.39,0.43,2.0,0.071,14.0,24.0,0.99428,3.45,0.87,11.2,2.418,2.666,12.4,0.4402,86.8,148.8,6.164536000000001,21.39,7
6.8,0.65,0.02,2.1,0.078,8.0,15.0,0.99498,3.35,0.62,10.4,4.42,0.136,14.28,0.5304,54.4,102.0,6.765864,22.78,6
6.6,0.44,0.15,2.1,0.076,22.0,53.0,0.9957,3.32,0.62,9.3,2.904,0.9899999999999999,13.86,0.5015999999999999,145.2,349.79999999999995,6.57162,21.912,5
6.8,0.65,0.02,2.1,0.078,8.0,15.0,0.99498,3.35,0.62,10.4,4.42,0.136,14.28,0.5304,54.4,102.0,6.765864,22.78,6
9.6,0.38,0.42,1.9,0.071,5.0,13.0,0.99659,3.15,0.75,10.5,3.6479999999999997,4.032,18.24,0.6815999999999999,48.0,124.8,9.567264,30.24,6
10.2,0.33,0.46,1.9,0.081,6.0,9.0,0.99628,3.1,0.48,10.4,3.366,4.692,19.38,0.8261999999999999,61.199999999999996,91.8,10.162056,31.619999999999997,6
8.8,0.27,0.46,2.1,0.095,20.0,29.0,0.99488,3.26,0.56,11.3,2.3760000000000003,4.048000000000001,18.480000000000004,0.8360000000000001,176.0,255.20000000000002,8.754944,28.688,6
7.9,0.57,0.31,2.0,0.079,10.0,79.0,0.99677,3.29,0.69,9.5,4.503,2.4490000000000003,15.8,0.6241,79.0,624.1,7.874483000000001,25.991000000000003,6
8.2,0.34,0.37,1.9,0.057,43.0,74.0,0.99408,3.23,0.81,12.0,2.788,3.034,15.579999999999998,0.4674,352.59999999999997,606.8,8.151456,26.485999999999997,6
8.2,0.4,0.31,1.9,0.082,8.0,24.0,0.996,3.24,0.69,10.6,3.28,2.542,15.579999999999998,0.6724,65.6,196.79999999999998,8.1672,26.567999999999998,6
9.0,0.39,0.4,1.3,0.044,25.0,50.0,0.99478,3.2,0.83,10.9,3.5100000000000002,3.6,11.700000000000001,0.39599999999999996,225.0,450.0,8.95302,28.8,6
10.9,0.32,0.52,1.8,0.132,17.0,44.0,0.99734,3.28,0.77,11.5,3.488,5.668,19.62,1.4388,185.3,479.6,10.871006000000001,35.752,6
10.9,0.32,0.52,1.8,0.132,17.0,44.0,0.99734,3.28,0.77,11.5,3.488,5.668,19.62,1.4388,185.3,479.6,10.871006000000001,35.752,6
8.1,0.53,0.22,2.2,0.078,33.0,89.0,0.99678,3.26,0.46,9.6,4.293,1.782,17.82,0.6317999999999999,267.3,720.9,8.073917999999999,26.406,6
10.5,0.36,0.47,2.2,0.074,9.0,23.0,0.99638,3.23,0.76,12.0,3.78,4.935,23.1,0.7769999999999999,94.5,241.5,10.46199,33.915,6
12.6,0.39,0.49,2.5,0.08,8.0,20.0,0.9992,3.07,0.82,10.3,4.914,6.1739999999999995,31.5,1.008,100.8,252.0,12.58992,38.681999999999995,6
9.2,0.46,0.23,2.6,0.091,18.0,77.0,0.99922,3.15,0.51,9.4,4.232,2.116,23.919999999999998,0.8371999999999999,165.6,708.4,9.192824,28.979999999999997,5
7.5,0.58,0.03,4.1,0.08,27.0,46.0,0.99592,3.02,0.47,9.2,4.35,0.22499999999999998,30.749999999999996,0.6,202.5,345.0,7.4694,22.65,5
9.0,0.58,0.25,2.0,0.104,8.0,21.0,0.99769,3.27,0.72,9.6,5.22,2.25,18.0,0.9359999999999999,72.0,189.0,8.97921,29.43,5
5.1,0.42,0.0,1.8,0.044,18.0,88.0,0.99157,3.68,0.73,13.6,2.142,0.0,9.18,0.22439999999999996,91.8,448.79999999999995,5.057007,18.768,7
7.6,0.43,0.29,2.1,0.075,19.0,66.0,0.99718,3.4,0.64,9.5,3.268,2.2039999999999997,15.959999999999999,0.57,144.4,501.59999999999997,7.578568,25.84,5
7.7,0.18,0.34,2.7,0.066,15.0,58.0,0.9947,3.37,0.78,11.8,1.386,2.6180000000000003,20.790000000000003,0.5082,115.5,446.6,7.659190000000001,25.949,6
7.8,0.815,0.01,2.6,0.074,48.0,90.0,0.99621,3.38,0.62,10.8,6.356999999999999,0.078,20.28,0.5771999999999999,374.4,702.0,7.770438,26.363999999999997,5
7.6,0.43,0.29,2.1,0.075,19.0,66.0,0.99718,3.4,0.64,9.5,3.268,2.2039999999999997,15.959999999999999,0.57,144.4,501.59999999999997,7.578568,25.84,5
10.2,0.23,0.37,2.2,0.057,14.0,36.0,0.99614,3.23,0.49,9.3,2.346,3.7739999999999996,22.44,0.5814,142.79999999999998,367.2,10.160627999999999,32.946,4
7.1,0.75,0.01,2.2,0.059,11.0,18.0,0.99242,3.39,0.4,12.8,5.324999999999999,0.071,15.620000000000001,0.41889999999999994,78.1,127.8,7.046181999999999,24.069,6
6.0,0.33,0.32,12.9,0.054,6.0,113.0,0.99572,3.3,0.56,11.5,1.98,1.92,77.4,0.324,36.0,678.0,5.9743200000000005,19.799999999999997,4
7.8,0.55,0.0,1.7,0.07,7.0,17.0,0.99659,3.26,0.64,9.4,4.29,0.0,13.26,0.546,54.6,132.6,7.773402,25.427999999999997,6
7.1,0.75,0.01,2.2,0.059,11.0,18.0,0.99242,3.39,0.4,12.8,5.324999999999999,0.071,15.620000000000001,0.41889999999999994,78.1,127.8,7.046181999999999,24.069,6
8.1,0.73,0.0,2.5,0.081,12.0,24.0,0.99798,3.38,0.46,9.6,5.912999999999999,0.0,20.25,0.6561,97.19999999999999,194.39999999999998,8.083637999999999,27.377999999999997,4
6.5,0.67,0.0,4.3,0.057,11.0,20.0,0.99488,3.45,0.56,11.8,4.355,0.0,27.95,0.3705,71.5,130.0,6.46672,22.425,4
7.5,0.61,0.2,1.7,0.076,36.0,60.0,0.99494,3.1,0.4,9.3,4.575,1.5,12.75,0.57,270.0,450.0,7.4620500000000005,23.25,5
9.8,0.37,0.39,2.5,0.079,28.0,65.0,0.99729,3.16,0.59,9.8,3.6260000000000003,3.8220000000000005,24.5,0.7742000000000001,274.40000000000003,637.0,9.773442000000001,30.968000000000004,5
9.0,0.4,0.41,2.0,0.058,15.0,40.0,0.99414,3.22,0.6,12.2,3.6,3.69,18.0,0.522,135.0,360.0,8.94726,28.98,6
8.3,0.56,0.22,2.4,0.082,10.0,86.0,0.9983,3.37,0.62,9.5,4.648000000000001,1.826,19.92,0.6806000000000001,83.0,713.8000000000001,8.28589,27.971000000000004,5
5.9,0.29,0.25,13.4,0.067,72.0,160.0,0.99721,3.33,0.54,10.3,1.711,1.475,79.06,0.39530000000000004,424.8,944.0,5.883539000000001,19.647000000000002,6
7.4,0.55,0.19,1.8,0.082,15.0,34.0,0.99655,3.49,0.68,10.5,4.07,1.4060000000000001,13.32,0.6068,111.0,251.60000000000002,7.3744700000000005,25.826000000000004,5
7.4,0.74,0.07,1.7,0.086,15.0,48.0,0.99502,3.12,0.48,10.0,5.476,0.5180000000000001,12.58,0.6364,111.0,355.20000000000005,7.363148000000001,23.088,5
7.4,0.55,0.19,1.8,0.082,15.0,34.0,0.99655,3.49,0.68,10.5,4.07,1.4060000000000001,13.32,0.6068,111.0,251.60000000000002,7.3744700000000005,25.826000000000004,5
6.9,0.41,0.33,2.2,0.081,22.0,36.0,0.9949,3.41,0.75,11.1,2.829,2.277,15.180000000000001,0.5589000000000001,151.8,248.4,6.86481,23.529000000000003,6
7.1,0.6,0.01,2.3,0.079,24.0,37.0,0.99514,3.4,0.61,10.9,4.26,0.071,16.33,0.5609,170.39999999999998,262.7,7.065494,24.139999999999997,6
7.1,0.6,0.01,2.3,0.079,24.0,37.0,0.99514,3.4,0.61,10.9,4.26,0.071,16.33,0.5609,170.39999999999998,262.7,7.065494,24.139999999999997,6
7.5,0.58,0.14,2.2,0.077,27.0,60.0,0.9963,3.28,0.59,9.8,4.35,1.05,16.5,0.5775,202.5,450.0,7.47225,24.599999999999998,5
7.1,0.72,0.0,1.8,0.123,6.0,14.0,0.99627,3.45,0.58,9.8,5.111999999999999,0.0,12.78,0.8733,42.599999999999994,99.39999999999999,7.073517,24.495,5
7.9,0.66,0.0,1.4,0.096,6.0,13.0,0.99569,3.43,0.58,9.5,5.214,0.0,11.06,0.7584000000000001,47.400000000000006,102.7,7.865951,27.097,5
7.8,0.7,0.06,1.9,0.079,20.0,35.0,0.99628,3.4,0.69,10.9,5.46,0.46799999999999997,14.819999999999999,0.6162,156.0,273.0,7.770984,26.52,5
6.1,0.64,0.02,2.4,0.069,26.0,46.0,0.99358,3.47,0.45,11.0,3.904,0.122,14.639999999999999,0.4209,158.6,280.59999999999997,6.0608379999999995,21.167,5
7.5,0.59,0.22,1.8,0.082,43.0,60.0,0.99499,3.1,0.42,9.2,4.425,1.65,13.5,0.615,322.5,450.0,7.4624250000000005,23.25,5
7.0,0.58,0.28,4.8,0.085,12.0,69.0,0.99633,3.32,0.7,11.0,4.06,1.9600000000000002,33.6,0.5950000000000001,84.0,483.0,6.97431,23.24,6
6.8,0.64,0.0,2.7,0.123,15.0,33.0,0.99538,3.44,0.63,11.3,4.352,0.0,18.36,0.8363999999999999,102.0,224.4,6.768584,23.392,6
6.8,0.64,0.0,2.7,0.123,15.0,33.0,0.99538,3.44,0.63,11.3,4.352,0.0,18.36,0.8363999999999999,102.0,224.4,6.768584,23.392,6
8.6,0.635,0.68,1.8,0.403,19.0,56.0,0.99632,3.02,1.15,9.3,5.460999999999999,5.848,15.48,3.4658,163.4,481.59999999999997,8.568351999999999,25.971999999999998,5
6.3,1.02,0.0,2.0,0.083,17.0,24.0,0.99437,3.59,0.55,11.2,6.426,0.0,12.6,0.5229,107.1,151.2,6.264531,22.616999999999997,4
9.8,0.45,0.38,2.5,0.081,34.0,66.0,0.99726,3.15,0.58,9.8,4.41,3.724,24.5,0.7938000000000001,333.20000000000005,646.8000000000001,9.773148,30.87,5
8.2,0.78,0.0,2.2,0.089,13.0,26.0,0.9978,3.37,0.46,9.6,6.396,0.0,18.04,0.7297999999999999,106.6,213.2,8.18196,27.633999999999997,4
8.5,0.37,0.32,1.8,0.066,26.0,51.0,0.99456,3.38,0.72,11.8,3.145,2.72,15.3,0.561,221.0,433.5,8.45376,28.73,6
7.2,0.57,0.05,2.3,0.081,16.0,36.0,0.99564,3.38,0.6,10.3,4.104,0.36000000000000004,16.56,0.5832,115.2,259.2,7.168608,24.336,6
7.2,0.57,0.05,2.3,0.081,16.0,36.0,0.99564,3.38,0.6,10.3,4.104,0.36000000000000004,16.56,0.5832,115.2,259.2,7.168608,24.336,6
10.4,0.43,0.5,2.3,0.068,13.0,19.0,0.996,3.1,0.87,11.4,4.472,5.2,23.919999999999998,0.7072,135.20000000000002,197.6,10.3584,32.24,6
6.9,0.41,0.31,2.0,0.079,21.0,51.0,0.99668,3.47,0.55,9.5,2.829,2.1390000000000002,13.8,0.5451,144.9,351.90000000000003,6.877092,23.943,6
5.5,0.49,0.03,1.8,0.044,28.0,87.0,0.9908,3.5,0.82,14.0,2.695,0.16499999999999998,9.9,0.242,154.0,478.5,5.4494,19.25,8
5.0,0.38,0.01,1.6,0.048,26.0,60.0,0.99084,3.7,0.75,14.0,1.9,0.05,8.0,0.24,130.0,300.0,4.9542,18.5,6
7.3,0.44,0.2,1.6,0.049,24.0,64.0,0.9935,3.38,0.57,11.7,3.2119999999999997,1.46,11.68,0.3577,175.2,467.2,7.25255,24.674,6
5.9,0.46,0.0,1.9,0.077,25.0,44.0,0.99385,3.5,0.53,11.2,2.7140000000000004,0.0,11.21,0.45430000000000004,147.5,259.6,5.863715,20.650000000000002,5
7.5,0.58,0.2,2.0,0.073,34.0,44.0,0.99494,3.1,0.43,9.3,4.35,1.5,15.0,0.5475,255.0,330.0,7.4620500000000005,23.25,5
7.8,0.58,0.13,2.1,0.102,17.0,36.0,0.9944,3.24,0.53,11.2,4.524,1.014,16.38,0.7956,132.6,280.8,7.75632,25.272000000000002,6
8.0,0.715,0.22,2.3,0.075,13.0,81.0,0.99688,3.24,0.54,9.5,5.72,1.76,18.4,0.6,104.0,648.0,7.97504,25.92,6
8.5,0.4,0.4,6.3,0.05,3.0,10.0,0.99566,3.28,0.56,12.0,3.4000000000000004,3.4000000000000004,53.55,0.42500000000000004,25.5,85.0,8.46311,27.88,4
7.0,0.69,0.0,1.9,0.114,3.0,10.0,0.99636,3.35,0.6,9.7,4.83,0.0,13.299999999999999,0.798,21.0,70.0,6.97452,23.45,6
8.0,0.715,0.22,2.3,0.075,13.0,81.0,0.99688,3.24,0.54,9.5,5.72,1.76,18.4,0.6,104.0,648.0,7.97504,25.92,6
9.8,0.3,0.39,1.7,0.062,3.0,9.0,0.9948,3.14,0.57,11.5,2.94,3.8220000000000005,16.66,0.6076,29.400000000000002,88.2,9.74904,30.772000000000002,7
7.1,0.46,0.2,1.9,0.077,28.0,54.0,0.9956,3.37,0.64,10.4,3.266,1.42,13.489999999999998,0.5467,198.79999999999998,383.4,7.06876,23.927,6
7.1,0.46,0.2,1.9,0.077,28.0,54.0,0.9956,3.37,0.64,10.4,3.266,1.42,13.489999999999998,0.5467,198.79999999999998,383.4,7.06876,23.927,6
7.9,0.765,0.0,2.0,0.084,9.0,22.0,0.99619,3.33,0.68,10.9,6.043500000000001,0.0,15.8,0.6636000000000001,71.10000000000001,173.8,7.8699010000000005,26.307000000000002,6
8.7,0.63,0.28,2.7,0.096,17.0,69.0,0.99734,3.26,0.63,10.2,5.481,2.436,23.49,0.8351999999999999,147.89999999999998,600.3,8.676858,28.361999999999995,6
7.0,0.42,0.19,2.3,0.071,18.0,36.0,0.99476,3.39,0.56,10.9,2.94,1.33,16.099999999999998,0.49699999999999994,126.0,252.0,6.9633199999999995,23.73,5
11.3,0.37,0.5,1.8,0.09,20.0,47.0,0.99734,3.15,0.57,10.5,4.181,5.65,20.340000000000003,1.0170000000000001,226.0,531.1,11.269942,35.595,5
7.1,0.16,0.44,2.5,0.068,17.0,31.0,0.99328,3.35,0.54,12.4,1.136,3.1239999999999997,17.75,0.4828,120.69999999999999,220.1,7.052288,23.785,6
8.0,0.6,0.08,2.6,0.056,3.0,7.0,0.99286,3.22,0.37,13.0,4.8,0.64,20.8,0.448,24.0,56.0,7.94288,25.76,5
7.0,0.6,0.3,4.5,0.068,20.0,110.0,0.99914,3.3,1.17,10.2,4.2,2.1,31.5,0.47600000000000003,140.0,770.0,6.9939800000000005,23.099999999999998,5
7.0,0.6,0.3,4.5,0.068,20.0,110.0,0.99914,3.3,1.17,10.2,4.2,2.1,31.5,0.47600000000000003,140.0,770.0,6.9939800000000005,23.099999999999998,5
7.6,0.74,0.0,1.9,0.1,6.0,12.0,0.99521,3.36,0.59,11.0,5.624,0.0,14.44,0.76,45.599999999999994,91.19999999999999,7.5635959999999995,25.535999999999998,5
8.2,0.635,0.1,2.1,0.073,25.0,60.0,0.99638,3.29,0.75,10.9,5.207,0.82,17.22,0.5985999999999999,204.99999999999997,491.99999999999994,8.170316,26.977999999999998,6
5.9,0.395,0.13,2.4,0.056,14.0,28.0,0.99362,3.62,0.67,12.4,2.3305000000000002,0.7670000000000001,14.16,0.3304,82.60000000000001,165.20000000000002,5.862358,21.358,6
7.5,0.755,0.0,1.9,0.084,6.0,12.0,0.99672,3.34,0.49,9.7,5.6625,0.0,14.25,0.63,45.0,90.0,7.4754000000000005,25.049999999999997,4
8.2,0.635,0.1,2.1,0.073,25.0,60.0,0.99638,3.29,0.75,10.9,5.207,0.82,17.22,0.5985999999999999,204.99999999999997,491.99999999999994,8.170316,26.977999999999998,6
6.6,0.63,0.0,4.3,0.093,51.0,77.5,0.99558,3.2,0.45,9.5,4.1579999999999995,0.0,28.38,0.6138,336.59999999999997,511.5,6.570828,21.12,5
6.6,0.63,0.0,4.3,0.093,51.0,77.5,0.99558,3.2,0.45,9.5,4.1579999999999995,0.0,28.38,0.6138,336.59999999999997,511.5,6.570828,21.12,5
7.2,0.53,0.14,2.1,0.064,15.0,29.0,0.99323,3.35,0.61,12.1,3.8160000000000003,1.0080000000000002,15.120000000000001,0.46080000000000004,108.0,208.8,7.151256,24.12,6
